AILI(sub, obj, type, content, context, time)
Thought(987, 993, Positive, I think I like 993, null, 0)
Thought(989, 993, Positive, I think I like 993, null, 0)
Thought(991, 993, Positive, I think I like 993, null, 0)
Thought(993, 989, Positive, I think I like 989, null, 0)
Thought(995, 989, Positive, I think I like 989, null, 0)
Speech(991, 995, Positive, Nice to meet you!, null, 14)
Speech(991, 995, Positive, This is fun!, null, 14)
Speech(991, 995, Positive, This is fun!, null, 27)
Speech(989, 987, Positive, Nice to meet you!, null, 33)
Speech(989, 987, Positive, This is fun!, null, 33)
Speech(995, 991, Negative, Not so fun ..., null, 41)
Speech(995, 991, Negative, Not so fun ..., null, 49)
Speech(987, 989, Positive, This is fun!, null, 63)
Speech(987, 989, Positive, This is fun!, null, 72)
Speech(987, 989, Positive, This is fun!, null, 115)
Speech(991, 995, Positive, This is fun!, null, 119)
Speech(991, 995, Negative, Not so fun ..., null, 123)
Speech(989, 987, Positive, This is fun!, null, 156)
Speech(987, 989, Negative, Not so fun ..., null, 170)
Speech(991, 995, Negative, Not so fun ..., null, 183)
Speech(987, 989, Negative, Not so fun ..., null, 194)
Speech(993, 991, Positive, Nice to meet you!, null, 356)
Speech(993, 991, Positive, This is fun!, null, 356)
Speech(995, 993, Positive, Nice to meet you!, null, 458)
Speech(995, 993, Negative, Not so fun ..., null, 458)
Speech(989, 987, Negative, Not so fun ..., null, 464)
Speech(987, 989, Positive, This is fun!, null, 483)
Speech(987, 989, Negative, Not so fun ..., null, 536)
Speech(989, 993, Positive, Nice to meet you!, null, 545)
Speech(989, 993, Positive, This is fun!, null, 545)
Speech(995, 991, Positive, This is fun!, null, 550)
Speech(989, 991, Positive, Nice to meet you!, null, 552)
Speech(989, 991, Negative, Not so fun ..., null, 552)
Speech(991, 987, Positive, Nice to meet you!, null, 568)
Speech(991, 987, Negative, Not so fun ..., null, 568)
Speech(987, 991, Positive, This is fun!, null, 575)
Speech(995, 987, Positive, Nice to meet you!, null, 594)
Speech(995, 987, Positive, This is fun!, null, 594)
Speech(989, 993, Positive, This is fun!, null, 601)
Speech(987, 991, Negative, Not so fun ..., null, 604)
Speech(995, 989, Positive, Nice to meet you!, null, 606)
Speech(995, 989, Positive, This is fun!, null, 606)
Speech(987, 989, Positive, This is fun!, null, 615)
Speech(991, 993, Positive, This is fun!, null, 617)
Speech(987, 991, Positive, This is fun!, null, 642)
Speech(989, 987, Positive, This is fun!, null, 650)
Speech(991, 987, Negative, Not so fun ..., null, 651)
Speech(991, 993, Positive, This is fun!, null, 668)
Speech(987, 989, Positive, This is fun!, null, 691)
Speech(989, 993, Positive, This is fun!, null, 696)
Speech(987, 991, Positive, This is fun!, null, 720)
Speech(989, 991, Negative, Not so fun ..., null, 732)
Speech(991, 993, Positive, This is fun!, null, 739)
Speech(995, 987, Positive, This is fun!, null, 751)
Speech(989, 991, Positive, This is fun!, null, 754)
Speech(991, 989, Positive, This is fun!, null, 766)
Speech(995, 987, Positive, This is fun!, null, 832)
Speech(995, 993, Positive, This is fun!, null, 834)
Speech(987, 993, Positive, Nice to meet you!, null, 843)
Speech(987, 993, Negative, Not so fun ..., null, 843)
Speech(989, 991, Positive, This is fun!, null, 890)
Speech(989, 987, Negative, Not so fun ..., null, 891)
Speech(993, 987, Negative, Not so fun ..., null, 946)
Speech(991, 987, Positive, This is fun!, null, 955)
Speech(995, 993, Negative, Not so fun ..., null, 956)
Speech(991, 993, Negative, Not so fun ..., null, 964)
Speech(989, 987, Positive, This is fun!, null, 966)
Speech(989, 991, Positive, This is fun!, null, 992)
Speech(995, 991, Positive, This is fun!, null, 997)
Speech(991, 993, Positive, This is fun!, null, 1039)
Speech(989, 991, Positive, This is fun!, null, 1062)
Speech(991, 993, Positive, This is fun!, null, 1080)
Speech(995, 987, Positive, This is fun!, null, 1088)
Speech(989, 987, Positive, This is fun!, null, 1089)
Speech(989, 987, Proposal, Will you come to the prom with me!, null, 1089)
Thought(987, 989, Conflict, Should I go to the Prom with 989? I really want to go with 993, null, 1089)
Speech(987, 989, Rejection, I'm Sorry 989, I don't want to go to the Prom with you., null, 1089)
Speech(987, 989, Proposal, Will you come to the prom with me!, null, 1157)
Thought(989, 987, Conflict, Should I go to the Prom with 987? I really want to go with 993, null, 1157)
Speech(989, 987, Rejection, I'm Sorry 987, I don't want to go to the Prom with you., null, 1157)
Speech(989, 987, Positive, This is fun!, null, 1173)
Speech(991, 995, Positive, This is fun!, null, 1224)
Speech(989, 987, Negative, Not so fun ..., null, 1257)
Speech(989, 987, Positive, This is fun!, null, 1297)
Speech(995, 991, Negative, Not so fun ..., null, 1318)
Speech(987, 989, Positive, This is fun!, null, 1325)
Speech(987, 989, Positive, This is fun!, null, 1353)
Speech(987, 989, Proposal, Will you come to the prom with me!, null, 1353)
Thought(989, 987, Conflict, Should I go to the Prom with 987? I really want to go with 993, null, 1353)
Speech(989, 987, Rejection, I'm Sorry 987, I don't want to go to the Prom with you., null, 1353)
Speech(989, 987, Proposal, Will you come to the prom with me!, null, 1353)
Thought(987, 989, Conflict, Should I go to the Prom with 989? I really want to go with 993, null, 1353)
Speech(987, 989, Rejection, I'm Sorry 989, I don't want to go to the Prom with you., null, 1353)
Speech(995, 991, Positive, This is fun!, null, 1362)
Speech(987, 989, Positive, This is fun!, null, 1365)
Speech(987, 989, Positive, This is fun!, null, 1371)
Speech(989, 987, Positive, This is fun!, null, 1386)
Speech(989, 987, Proposal, Will you come to the prom with me!, null, 1386)
Thought(987, 989, Conflict, Should I go to the Prom with 989? I really want to go with 993, null, 1386)
Speech(987, 989, Rejection, I'm Sorry 989, I don't want to go to the Prom with you., null, 1386)
Speech(987, 989, Proposal, Will you come to the prom with me!, null, 1387)
Thought(989, 987, Conflict, Should I go to the Prom with 987? I really want to go with 993, null, 1387)
Speech(989, 987, Rejection, I'm Sorry 987, I don't want to go to the Prom with you., null, 1387)
Speech(987, 989, Positive, This is fun!, null, 1392)
Speech(991, 995, Negative, Not so fun ..., null, 1392)
Speech(987, 989, Positive, This is fun!, null, 1439)
Speech(987, 989, Positive, This is fun!, null, 1564)
Speech(987, 989, Proposal, Will you come to the prom with me!, null, 1564)
Thought(989, 987, Conflict, Should I go to the Prom with 987? I really want to go with 993, null, 1564)
Speech(989, 987, Accept, Yes 987! I'd love to go to the Prom with you!, null, 1564)
Speech(991, 993, Negative, Not so fun ..., null, 1642)
Speech(987, 989, Negative, Not so fun ..., null, 1650)
Speech(993, 991, Positive, This is fun!, null, 1657)
Speech(991, 993, Negative, Not so fun ..., null, 1660)
Speech(987, 989, Positive, This is fun!, null, 1682)
Speech(991, 995, Negative, Not so fun ..., null, 1715)
Speech(989, 987, Negative, Not so fun ..., null, 1734)
Speech(987, 989, Positive, This is fun!, null, 1738)
Speech(991, 993, Positive, This is fun!, null, 1741)
Speech(989, 987, Positive, This is fun!, null, 1777)
Speech(987, 989, Positive, This is fun!, null, 1800)
Speech(995, 989, Negative, Not so fun ..., null, 1831)
Speech(991, 987, Negative, Not so fun ..., null, 1839)
Speech(989, 993, Positive, This is fun!, null, 1845)
Speech(991, 989, Positive, This is fun!, null, 1848)
Speech(995, 989, Negative, Not so fun ..., null, 1876)
Speech(991, 993, Positive, This is fun!, null, 1887)
Speech(991, 993, Proposal, Will you come to the prom with me!, null, 1887)
Thought(993, 991, Conflict, Should I go to the Prom with 991? I really want to go with 989, null, 1887)
Speech(993, 991, Accept, Yes 991! I'd love to go to the Prom with you!, null, 1887)
Speech(989, 995, Positive, This is fun!, null, 1891)
Speech(987, 993, Positive, This is fun!, null, 1902)
Speech(989, 995, Negative, Not so fun ..., null, 1909)
Speech(991, 995, Positive, This is fun!, null, 1910)
Speech(991, 987, Positive, This is fun!, null, 1916)
Speech(991, 989, Positive, This is fun!, null, 1921)
Speech(987, 995, Positive, This is fun!, null, 1927)
Speech(991, 989, Positive, This is fun!, null, 1938)
Speech(995, 993, Negative, Not so fun ..., null, 1957)
Speech(995, 989, Positive, This is fun!, null, 1957)
